"","Raw.genus","Raw.species"
"6837","Leptogenys","Leptogenys piroskae"
"6838","Pheidole","Pheidole steinheili"
"6839","Pheidole","Pheidole wheeleri"
"6840","Pseudoatta",""
"6841","Hypoponera","Hypoponera punctatissima"
"6842","Hypoponera","Hypoponera distinguenda"
"6843","Hypoponera","Hypoponera queenslandensis"
"6844","Pseudomyrmex","Pseudomyrmex godmani"
"6845","Amblyopone","Amblyopone gingivalis"
"6846","Pheidole","Pheidole rugosula"
"6847","Camponotus","Camponotus rufifemur"
"6848","Camponotus","Camponotus carbo"
"6849","Dolichoderus","Dolichoderus septemspinosus"
"6850","Dolichoderus","Dolichoderus varians"
"6851","Solenopsis","Solenopsis salina"
"6852","Acanthognathus","Acanthognathus ocellatus"
"6853","Cephalotes","Cephalotes palustris"
"6854","Manica","Manica hunteri"
"6855","Polyrhachis","Polyrhachis exercita"
"6856","Leptomyrmex","Leptomyrmex varians"
"6857","Pheidole","Pheidole ulothrix"
"6858","Monomorium","Monomorium salomonis"
"6859","Tetramorium","Tetramorium sulcinode"
"6860","Camponotus","Camponotus shaqualavensis"
"6861","Solenopsis","Solenopsis bakri"
"6862","Dolichoderus","Dolichoderus niger"
"6863","Eurhopalothrix","Eurhopalothrix semicapillum"
"6864","Tetramorium","Tetramorium mahafaly"
"6865","Pheidole","Pheidole vony"
"6866","Acropyga","Acropyga romeo"
"6867","Camponotus","Camponotus pilicornis"
"6868","Discothyrea","Discothyrea hewitti"
"6869","Aphaenogaster","Aphaenogaster phalangium"
"6870","Messor","Messor decipiens"
"6871","Cardiocondyla","Cardiocondyla parvinoda"
"6872","Anoplolepis","Anoplolepis gracilipes"
"6873","Aenictus","Aenictus bayoni"
"6874","Polyrhachis","Polyrhachis alexisi"
"6875","Polyrhachis","Polyrhachis khepra"
"6876","Technomyrmex","Technomyrmex convexifrons"
"6877","Leptogenys","Leptogenys attenuata"
"6878","Pheidole","Pheidole allani"
"6879","Pheidole","Pheidole longicornis"
"6880","Crematogaster","Crematogaster peristerica"
"6881","Crematogaster","Crematogaster cylindriceps"
"6882","Crematogaster","Crematogaster vulcania"
"6883","Paratrechina","Paratrechina oceanica"
"6884","Iridomyrmex","Iridomyrmex obscurans"
"6885","Cerapachys","Cerapachys davisi"
"6886","Trachymyrmex","Trachymyrmex dichrous"
"6887","Gnamptogenys","Gnamptogenys aterrima"
"6888","Hypoponera","Hypoponera bugnioni"
"6889","Pseudomyrmex","Pseudomyrmex pupa"
"6890","Tapinolepis",""
"6891","Camponotus","Camponotus petersii"
"6892","Camponotus","Camponotus biolleyi"
"6893","Camponotus","Camponotus melanoticus"
"6894","Camponotus","Camponotus singularis"
"6895","Solenopsis","Solenopsis occipitalis"
"6896","Solenopsis","Solenopsis interrupta"
"6897","Carebara","Carebara patrizii"
